piece,obs,mean_ring,p_top_band,top_lift,best_ring,best_lift,p_ring1,p_ring2,p_ring3,p_ring4,p_ring5,p_ring6,p_ring7,lift1,lift2,lift3,lift4,lift5,lift6,lift7
125,136.62,2.266,0.2113,1.261,1,2.178,0.4747,0.1523,0.1635,0.0998,0.061,0.0487,0.0,2.178,0.742,0.981,0.556,0.476,0.633,0.0
124,141.44,2.581,0.2637,1.573,1,1.85,0.4033,0.1816,0.1192,0.1134,0.1123,0.0489,0.0212,1.85,0.885,0.715,0.632,0.876,0.636,0.827
100,133.59,2.61,0.1363,0.813,1,1.677,0.3654,0.1712,0.1602,0.1644,0.0734,0.0611,0.0044,1.677,0.834,0.961,0.916,0.572,0.795,0.17
119,129.56,2.662,0.1794,1.07,1,1.685,0.3672,0.1172,0.2222,0.1304,0.1056,0.0575,0.0,1.685,0.571,1.333,0.726,0.823,0.748,0.0
239,139.14,2.663,0.1785,1.065,1,1.389,0.3027,0.2083,0.1921,0.1597,0.0947,0.0425,0.0,1.389,1.015,1.153,0.89,0.739,0.553,0.0
246,128.1,2.691,0.1939,1.157,1,1.731,0.3772,0.1412,0.1267,0.1695,0.1385,0.0468,0.0,1.731,0.688,0.76,0.944,1.08,0.609,0.0
91,131.12,2.698,0.1483,0.885,1,1.558,0.3396,0.1727,0.1892,0.1136,0.1253,0.0531,0.0065,1.558,0.842,1.135,0.633,0.978,0.691,0.252
243,133.36,2.708,0.1827,1.09,1,1.568,0.3416,0.1744,0.1485,0.1696,0.1015,0.0644,0.0,1.568,0.85,0.891,0.945,0.792,0.837,0.0
247,132.37,2.713,0.194,1.157,1,1.366,0.2978,0.2355,0.125,0.1885,0.1043,0.049,0.0,1.366,1.148,0.75,1.05,0.813,0.637,0.0
240,131.2,2.741,0.1954,1.166,1,1.551,0.3381,0.1313,0.1918,0.2045,0.0611,0.0712,0.0019,1.551,0.64,1.151,1.139,0.477,0.926,0.074
97,139.65,2.813,0.2834,1.691,3,1.276,0.2657,0.2154,0.2127,0.1264,0.1151,0.0552,0.0095,1.219,1.05,1.276,0.704,0.898,0.717,0.372
177,133.89,2.817,0.1629,0.972,1,1.497,0.3264,0.1833,0.1535,0.1459,0.0987,0.0598,0.0325,1.497,0.893,0.921,0.813,0.77,0.777,1.269
116,142.69,2.82,0.2058,1.228,1,1.362,0.2969,0.1986,0.1681,0.1528,0.0966,0.0818,0.0051,1.362,0.968,1.009,0.852,0.754,1.063,0.199
172,134.28,2.821,0.1684,1.005,1,1.607,0.3502,0.1522,0.1552,0.1407,0.1058,0.0626,0.0333,1.607,0.742,0.931,0.784,0.825,0.813,1.299
109,128.96,2.852,0.1469,0.876,1,1.335,0.291,0.1878,0.1663,0.1484,0.1504,0.0522,0.0039,1.335,0.915,0.998,0.827,1.174,0.679,0.151
76,127.64,2.858,0.1837,1.096,5,1.424,0.3102,0.1763,0.1437,0.143,0.1826,0.0298,0.0144,1.423,0.86,0.862,0.797,1.424,0.387,0.56
241,137.57,2.859,0.1437,0.858,1,1.348,0.2939,0.1722,0.1566,0.1825,0.1552,0.0323,0.0073,1.348,0.839,0.94,1.017,1.211,0.421,0.284
200,129.84,2.861,0.2257,1.347,1,1.182,0.2576,0.2163,0.1632,0.2064,0.0964,0.0477,0.0126,1.182,1.054,0.979,1.15,0.752,0.62,0.491
115,128.15,2.862,0.1865,1.113,1,1.227,0.2674,0.2374,0.1552,0.1446,0.102,0.0882,0.0052,1.227,1.157,0.931,0.805,0.796,1.147,0.203
249,132.44,2.862,0.2072,1.236,1,1.342,0.2924,0.1826,0.1455,0.1861,0.1395,0.0515,0.0025,1.342,0.89,0.873,1.037,1.088,0.669,0.098
251,135.13,2.863,0.1633,0.974,1,1.279,0.2788,0.185,0.1798,0.1601,0.1514,0.0375,0.0074,1.279,0.902,1.079,0.892,1.181,0.488,0.289
117,133.17,2.866,0.1212,0.723,1,1.231,0.2682,0.1755,0.1906,0.2055,0.1202,0.028,0.012,1.231,0.855,1.143,1.145,0.938,0.364,0.469
155,143.96,2.866,0.1919,1.145,1,1.415,0.3085,0.1753,0.1529,0.147,0.1534,0.0468,0.0161,1.415,0.855,0.918,0.819,1.197,0.608,0.629
178,127.91,2.871,0.1826,1.089,7,2.073,0.3239,0.1643,0.1601,0.1687,0.088,0.0419,0.0532,1.486,0.801,0.96,0.94,0.686,0.544,2.073
227,142.56,2.874,0.1672,0.998,1,1.344,0.293,0.1895,0.16,0.1519,0.1261,0.0726,0.007,1.344,0.924,0.96,0.846,0.983,0.943,0.274
232,127.65,2.874,0.2192,1.308,1,1.219,0.2656,0.2171,0.1685,0.1605,0.1106,0.0698,0.0078,1.219,1.058,1.011,0.894,0.863,0.907,0.306
250,124.32,2.874,0.167,0.996,3,1.421,0.2835,0.1657,0.2368,0.1275,0.08,0.1064,0.0,1.301,0.808,1.421,0.71,0.624,1.384,0.0
110,128.06,2.886,0.1837,1.096,1,1.257,0.2739,0.2047,0.1601,0.1499,0.1531,0.0505,0.0078,1.257,0.998,0.961,0.835,1.194,0.657,0.305
132,134.46,2.907,0.1903,1.135,2,1.286,0.2163,0.2638,0.1841,0.1594,0.1027,0.0558,0.0178,0.993,1.286,1.105,0.888,0.801,0.725,0.696
212,134.39,2.91,0.2348,1.401,3,1.265,0.2288,0.2121,0.2109,0.1741,0.1164,0.0577,0.0,1.05,1.034,1.265,0.97,0.908,0.75,0.0
79,140.06,2.912,0.1263,0.754,1,1.232,0.2686,0.2025,0.1787,0.1393,0.1261,0.0789,0.0058,1.232,0.987,1.072,0.776,0.984,1.026,0.228
123,135.93,2.915,0.197,1.175,1,1.329,0.2896,0.1624,0.1924,0.1461,0.1179,0.0917,0.0,1.329,0.792,1.155,0.814,0.919,1.192,0.0
169,127.85,2.92,0.1454,0.868,1,1.249,0.2722,0.1962,0.1804,0.1658,0.0874,0.0729,0.0252,1.249,0.956,1.083,0.924,0.681,0.947,0.984
220,128.4,2.927,0.1696,1.012,3,1.487,0.2144,0.196,0.2478,0.1781,0.117,0.0467,0.0,0.984,0.956,1.487,0.992,0.912,0.607,0.0
101,131.64,2.931,0.144,0.859,1,1.332,0.2903,0.1657,0.1929,0.1468,0.1005,0.0847,0.019,1.332,0.808,1.158,0.818,0.784,1.101,0.741
218,128.68,2.934,0.1899,1.133,1,1.208,0.2633,0.1873,0.1454,0.2163,0.1306,0.057,0.0,1.208,0.913,0.873,1.205,1.018,0.741,0.0
127,129.96,2.937,0.0914,0.545,1,1.27,0.2769,0.1988,0.1383,0.1967,0.0903,0.0837,0.0154,1.27,0.969,0.83,1.096,0.705,1.088,0.6
62,135.02,2.942,0.1596,0.952,5,1.278,0.2672,0.2118,0.1559,0.1218,0.1639,0.0794,0.0,1.226,1.033,0.935,0.679,1.278,1.032,0.0
89,130.22,2.956,0.2117,1.263,1,1.121,0.2444,0.2088,0.1774,0.1678,0.1289,0.0625,0.0102,1.121,1.018,1.065,0.935,1.005,0.812,0.399
210,127.34,2.962,0.155,0.925,3,1.175,0.2454,0.1977,0.1959,0.1478,0.145,0.0605,0.0079,1.126,0.964,1.175,0.823,1.131,0.786,0.306
73,129.36,2.964,0.1567,0.935,1,1.292,0.2817,0.175,0.1609,0.1729,0.1068,0.0949,0.0077,1.292,0.853,0.966,0.964,0.833,1.234,0.301
113,133.28,2.966,0.1293,0.772,6,1.313,0.2673,0.181,0.1669,0.1895,0.0944,0.101,0.0,1.227,0.882,1.001,1.056,0.736,1.313,0.0
191,134.37,2.966,0.1334,0.796,4,1.218,0.2636,0.1623,0.17,0.2185,0.1198,0.0658,0.0,1.209,0.791,1.02,1.218,0.934,0.855,0.0
242,121.47,2.966,0.1379,0.823,1,1.456,0.3173,0.1412,0.1737,0.1212,0.1404,0.0861,0.0203,1.456,0.688,1.042,0.675,1.095,1.12,0.79
82,135.28,2.967,0.1982,1.183,6,1.478,0.2653,0.2264,0.1482,0.1243,0.1147,0.1137,0.0074,1.217,1.104,0.889,0.693,0.895,1.478,0.288
203,124.05,2.977,0.1199,0.716,5,1.33,0.2777,0.1732,0.1082,0.2234,0.1705,0.047,0.0,1.274,0.844,0.649,1.244,1.33,0.612,0.0
219,126.81,2.981,0.1947,1.162,3,1.166,0.2018,0.2351,0.1944,0.206,0.0817,0.0731,0.0079,0.926,1.146,1.166,1.148,0.638,0.95,0.308
245,132.86,2.986,0.1819,1.085,3,1.187,0.2181,0.2083,0.1978,0.1999,0.1009,0.0713,0.0038,1.001,1.016,1.187,1.114,0.787,0.926,0.147
93,130.91,2.991,0.1538,0.918,3,1.311,0.2551,0.1421,0.2185,0.1884,0.1404,0.0479,0.0076,1.17,0.693,1.311,1.049,1.095,0.622,0.298
102,133.22,2.991,0.192,1.146,2,1.148,0.2261,0.2354,0.1553,0.1866,0.1133,0.0684,0.015,1.037,1.148,0.932,1.039,0.883,0.889,0.586
211,132.39,2.991,0.1615,0.964,5,1.384,0.1874,0.2441,0.1859,0.1815,0.1775,0.0211,0.0025,0.86,1.19,1.115,1.011,1.384,0.275,0.098
106,129.29,2.994,0.2027,1.209,1,1.441,0.3142,0.1617,0.1091,0.1492,0.1706,0.0875,0.0077,1.441,0.789,0.655,0.831,1.33,1.137,0.302
85,129.41,3.004,0.1687,1.007,3,1.409,0.2221,0.1841,0.2349,0.16,0.1345,0.0541,0.0103,1.019,0.897,1.409,0.892,1.049,0.703,0.402
